Entreprise,Motif,Detail,Contacts ecartes,Effectif SIREN,Variantes de nom
360SmartConnect (Track&Trace pour la construction),ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
ADEQUATION,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,100,
adista,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,500,
ADIT,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,100,
agap2,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",3,2000,
agap2IT France,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
Akkodis,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",5,1000,
ALTIX,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",2,0,
ALTUP CONSEIL,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,3,
Amesys Conseil,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
Amplitudes,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
Arche MC2,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,250,
ARi,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,250,
ATOS Racks,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
Augusta Reeves - SAP Global Partner,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,20,
Axians,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",3,250,Axians France
Capgemini,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
CGI,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
CGI Business Consulting,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
CGX AERO,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
CIMPA PLM Services,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
Cloud Temple,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,100,
CS GROUP,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
CS in Defense & Security,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
DSI,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,1,
🟣 DSIACTIVE,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
Enovacom,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,250,
ERIGIUM,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,3,
EUKLES Solutions,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
Extia,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,1000,
Free Pro,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",2,250,
Groupe ISIA,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,100,
Groupe M Target,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
GUARANÍ,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
HighCo DATA France,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
HR Path,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
i-datech solutions,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,,
IBM,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,1,
Imaneo,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
INCEPT Group,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,20,
Inetum,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",4,5000,
Infomil,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,500,
Infotel,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,3,
Inovéa,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
INSITU France,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,100,
Instant System - Enabling MaaS,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
Intrinsec,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,200,
Isii-Tech,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
Klanik,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",2,250,
Koesio,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",3,0,
Konica Minolta Business Solutions France,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,1000,
Kyndryl,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",2,1000,
Lyra,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",2,10,
Magellium,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,200,
MAGORA,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
MEP - marketing e comunicazione,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,3,
Mews Partners,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,10,
Micropole,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,0,
Mindset - Middle East and Africa,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,10,
MINT SA,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,10,
Monext,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,250,
NEO2,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",3,0,
nexialist,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,20,
nLighten,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,1,
NOVARC,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",3,3,
NOVATICS,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
"NTT DATA, Inc.",ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",1,50,
OPEN,ESN / concurrent,"ESN / cabinet IT : concurrent, pas client",2,2000,
